m1,n1,m2,n2,cuda_times,lin_scale_times,cuda_average,lin_scale_average,speed_up
800.0,8.0,400.0,8.0,"[22.1553, 21.9408, 20.8876, 23.97, 22.6276]","[2.51302, 1.44022, 1.28054, 1.76208, 1.33194]",22.3565,1.4536950000000002,15.379085709175582
800.0,16.0,400.0,16.0,"[49.1315, 40.775, 40.5118, 47.3022, 44.5341]","[1.55411, 1.41149, 1.64045, 1.85136, 1.90605]",43.280775,1.7023375,25.42432097043036
800.0,32.0,400.0,32.0,"[104.784, 102.264, 91.107, 91.5168, 93.7692]","[2.56614, 1.99741, 1.78586, 1.77581, 2.69312]",94.66425,2.06305,45.88558202661108
800.0,64.0,400.0,64.0,"[229.424, 227.863, 236.392, 230.846, 238.43]","[2.79296, 3.91965, 3.08019, 3.40227, 3.15152]",233.38275,3.3884075,68.87682488012436
800.0,2.0,800.0,2.0,"[11.4744, 9.58038, 10.1159, 12.0471, 11.778]","[1.36406, 1.21894, 1.25558, 1.2984, 1.24518]",10.880345,1.2545250000000001,8.672880173770949
800.0,4.0,800.0,4.0,"[20.4437, 20.4111, 24.7589, 22.8434, 21.3519]","[1.82682, 2.72973, 3.31773, 2.01555, 2.98685]",22.341325,2.762465,8.087459931619042
800.0,8.0,800.0,8.0,"[40.1522, 40.644, 39.6814, 41.013, 40.3333]","[1.77066, 2.06944, 3.09862, 1.9513, 1.76794]",40.417925000000004,2.221825,18.19131794808322
800.0,16.0,800.0,16.0,"[86.8273, 72.1163, 70.8178, 70.9523, 72.9239]","[1.89792, 1.68896, 1.6855, 1.70781, 1.66301]",71.702575,1.68632,42.520147421604435
800.0,32.0,800.0,32.0,"[178.614, 180.374, 176.961, 174.453, 176.554]","[2.15802, 2.08358, 2.10419, 2.50682, 2.19088]",177.0855,2.2213675,79.71913697305827
800.0,64.0,800.0,64.0,"[423.657, 421.819, 421.919, 418.323, 408.07]","[4.36723, 3.12525, 3.07818, 3.13344, 3.95434]",417.53275,3.3228025,125.65680626519332
